userId,nickName,date,score,city,comment
294749084,神罗天征plus,2018-08-14,5,上海,人性的缩影，体现的很彻底
164024748,rFH715321514,2018-08-14,5,北京,很好看，更喜欢艺兴小哥哥的演技
616921189,Hcm小明,2018-08-14,5,浏阳,推荐，，，，，，
1496879799,Wayne.303,2018-08-14,4,长沙,好在都是演戏好的 剧情有点乱
244503977,yang22598,2018-08-14,5,深圳,个人觉得非常好看，黄渤，张艺兴，王宝强等都演的很好
65768450,No_solo,2018-08-14,5,临汾,非常喜欢，渤哥，于和伟，加油
629324644,Kcy647762588,2018-08-14,5,蒙自市,挺好的，值得一看
172643737,小e苏苏,2018-08-14,2.5,广州,还好啊，剧情有点假
247087577,落叶k,2018-08-14,4,西安,一般吧，比期望的要差点
55312413,jay277,2018-08-14,4,鞍山,感受就是，演员演出还算到位，剧情有瑕疵，不过可以接受，张艺兴演技可以，在磨练几年就更好了
921842359,是希。,2018-08-14,4,沧州,不错。。。。
42480240,RebeccaSRL,2018-08-14,4,杭州,挺好的，通俗易懂亲民
308754116,若即i若离,2018-08-14,5,渭南,还不错，挺好笑
1037655559,Lvs732432323,2018-08-14,2.5,成都,这部电影觉得害了几个好演员，老演员，而且也坏了黄渤他本人，就算想要表现自己的出色也要仔细甄选题材，如果是喜剧还不够突出，看完整部剧好累好遗憾，除了新人张艺兴表现不错，其他简直被导演坑了，包括他自己，作为忠实粉丝桑心啊
171635783,凉季8689,2018-08-14,1,张家口,不好看不好看不好看
539093913,燕冷儿,2018-08-14,4,黔南,还行，就是看得有点不明白😂
257054500,sPZ258035670,2018-08-14,5,重庆,反正我觉得 好看。安排！
62221215,雪聆风,2018-08-14,2.5,锦州,其实没太看懂～有点不知所谓吧～
450780643,ZvM766634102,2018-08-14,4.5,溧阳,故事不错 演技在线 内涵丰富 节奏较慢
850111918,Z19980810,2018-08-14,5,哈尔滨,超励志   看完就觉得 要是死的话  得吃饱了再死
64094571,乐成中心,2018-08-14,3.5,贵阳,几位演员黄渤，宝强，舒淇的表演肯定不用质疑，都是我喜欢的演员，但是剧本真心一般！另外一直喜欢舒淇和许晴，所以她们的作品都会去支持！
1026722804,qoA310366931,2018-08-14,4.5,广州,为黄渤，舒淇，张艺兴点赞
66220886,用户名已被占用v,2018-08-14,5,石家庄,全程看下来还是很不错的，整部电影对人性的思考太严重了，好狠，但是也更加讽刺人性，一部很有思考的电影，我觉得还可以，好评！
364062009,凝馨么么哒,2018-08-14,4.5,上饶,值得观看，特别精彩
728704092,yuki0wcy,2018-08-14,5,丹阳,超级推荐#/
464372937,LYY_59900,2018-08-14,5,贵阳,细思极恐 黄渤牛逼
